#;PASO;Diámetro Hueco (in);OPERACIÓN;TIEMPO PLANEADO (hr);TIEMPO EJECUTADO (hr);GAP (hr)
118;CRBHA34;8.50;Circular en el zapato de 9-5/8;;1.00;1.00
119;POCH31;8.50;"CONTINUAR SACANDO DP 5 1/2"" Y  BHA HASTA SUPERFICIE. (HUECO REVESTIDO)";;7.00;7.00
120;SAFE32;8.50;Realizar reunion Preoperacional quiebre de BHA Direccional;;0.50;0.50
121;RDBHA31;8.50;Quebrar herramientas direccionales.;;1.00;1.00
122;SAFE33;8.50;Realizar reunión preoperacional y de seguridad para operación de registros eléctricos Triple Combo con cable;;0.50;0.50
123;RULOG31;8.50;Armar poleas y herramientas de regsitro con cable;;3.50;3.50
124;RULOG32;8.50;Armar sonda triple combo;;;
125;RIHLG31;8.50;Bajar sonda TC con cable hasta zapato 9 5/8;;2.00;2.00
126;RUNWL31;8.50;Realizar toma de registros TC;;1.00;1.00
127;POHLG31;8.50;Sacar sonda a superficie;;1.00;1.00
128;RULOG33;8.50;Armar sonda para toma de puntos de presion;;2.00;2.00
129;RIHLG32;8.50;Conectar y bajar sonda puntos de presion hasta zapato 9 5/8;;1.50;1.50
130;PLOG31;8.50;Realizar toma de puntos de presion;;5.50;5.50
131;POHLG32;8.50;Sacar sonda a superficie;;1.00;1.00
132;SAFE34;8.50;REALIZAR REUNIÓN PREOPERACIONAL Y DE SEGURIDAD PARA ARME DE BHA CONVENCIONAL;;;
133;RUBHA32;8.50; Armar BHA convencional para acondicionar hueco de 8-1/2;;;
134;WIPER31;8.50;"Bajar DP 5 1/2"", libre hasta zapato de 9-5/8";;;
135;CRBHA35;8.50;Circular en el zapato de 9-5/8;;;
136;WIPER32;8.50;"Bajar BHA en hueco abierto de 8-1/2"" hasta el fondo";;;
137;CRBHA36;8.50;CIRCULAR HASTA OBTENER RETORNOS LIMPIOS EN SUPERFICIE;;;
139;CRBHA37;8.50;Circular en el zapato de 9-5/8;;;
138;WIPER33;8.50;Sacar BHA de acondicionamiento hasta el zapato de 9-5/8;;;
140;WIPER34;8.50;"Continuar sacando DP 5 1/2"". Quebrar BHA";;;
141;SAFE35;8.50;Realizar reunión preoperacional para corrida de Liner 7;;0.50;0.50
142;RUCST31;8.50;Rig up de htas para bajar liner 7;;1.00;1.00
143;RICHL31;8.50;"Bajar liner  7"", según programa. (HUECO REVESTIDO)";;3.00;3.00
144;RULNR31;8.50;Levantar y armar Liner Hanger Assembly - Setting Tool  Conectar Hanger al Liner 7;;1.50;1.50
145;RDCST31;8.50;Rig Down herramientas de manejo para corrida de Liner 7;;;
146;RICHL32;8.50;"Continuar bajando liner 7""  (HUECO REVESTIDO)";;6.50;6.50
147;CIRCS31;8.50;"CIRCULAR UN FONDO ARRIBA EN EL ZAPATO 9-5/8""";;1.50;1.50
148;RIOHL31;8.50;" Bajar Liner 7"" (HUECO ABIERTO)";;3.00;3.00
149;CIRCS32;8.50;Circular fondos hasta retornos limpios y presión estable acorde a la simulación enviada previo a la corrida;;2.00;2.00
150;RUCEM31;8.50;Levantar y conectar cabeza de cementación;;1.50;1.50
151;CIRCS33;8.50;Continuar circulando Liner;;4.00;4.00
152;CEM31;8.50;Cementar liner 7;;2.00;2.00
153;SETLN31;8.50;Realizar expansión del top packer  según procedimiento de compañía aliada;;1.00;1.00
154;RDCEM31;8.50;Rig Down líneas de cementación;;;
155;CIRCS34;8.50;DESPLAZAR LODO POR AGUA FILTRADA;;;
156;LDPIP31;8.50;SACAR Y QUEBRAR SETTING TOOL;;5.50;5.50
157;SIMUL31;8.50;TIEMPO DE SIMULACROS;;;
158;RSERV31;8.50;Rig Service;;1.00;1.00
0;CA;;Cambio de alcance;0.00;;
1;NP;;ACTIVIDAD NO PLANEADA, NO SE INCLUYE EL TIEMPO EN EL DWOP O MAPA DE PARÁMETROS;0.00;3.50;3.50
2;NPT;;Tiempo no productivo operacional.;0.00;5.50;5.50
3;NPTNO;;TIEMPO NO PRODUCTIVO NO OPERACIONAL (CLIMA, SOCIAL, LOCACIÓN);0.00;5.50;5.50
4;SAFE11;17.50;Realizar reunión pre operacional y de seguridad para iniciar operaciones de perforación. Se recibe con BHA # 1 armado.;0.50;0.50;0.00
5;DRIL11;17.50;Perforar con Broca Tricónica Formación Guayabo hasta +-350';10.50;10.50;0.00
6;CRBHA11;17.50;Circular pozo hasta retornos limpios en superficie;0.50;0.50;0.00
7;POOH11;17.50;SACAR BHA N° 1 A SUPERFICIE PARA CAMBIO DE BHA;2.00;3.00;1.00
8;SAFE12;17.50;REALIZAR REUNIÓN PREOPERACIONAL Y DE SEGURIDAD PARA ARME DE BHA DIRECCIONAL.;0.50;0.50;0.00
9;RUDT11;17.50;Armar BHA N° 2.;3.00;3.00;0.00
10;RIOH11;17.50;Bajar BHA#2 direccional hasta 400 ft.;2.00;1.00;-1.00
11;DRIL12;17.50;Perforar hueco de 17 1/2'' desde +/-350 ft hasta  el tope de la Formación Carbonera Unidad Areniscas superiores.;9.50;7.50;-2.00
12;DRIL13;17.50;Perforar hueco de 17 1/2'' desde el Tope de la Unidad Areniscas superiores hasta Max 1900 ft .;9.00;8.00;-1.00
13;CRBHA12;17.50;Bombear píldora según programa de fluidos y circular fondos hasta retornos limpios;1.00;0.50;-0.50
14;WIPER11;17.50;Sacar tubería hasta superficie, sin quebrar el BHA.;4.00;4.00;0.00
15;WIPER12;17.50;Limpiar BHA en superficie;0.50;0.50;0.00
16;SHTRI11;17.50;Bajar libre;3.50;2.50;-1.00
17;CRBHA13;17.50;Circular pozo hasta retornos limpios en superficie;0.50;0.50;0.00
18;POOH12;17.50;Sacar sarta hasta tope de las herramientas direccionales;2.50;3.00;0.50
19;SAFE13;17.50;Realizar reunión preoperacional para quebrar herramientas direccionales;0.50;0.50;0.00
20;RDDT11;17.50;QUEBRAR BHA DIRECCIONAL.;2.00;1.50;-0.50
21;RDEQR11;17.50;LIMPIAR CONTRAPOZO;1.00;1.00;0.00
22;RDEQR12;17.50;"Acondicionar mesa previo a la corrida del CSG 13 3/8""";0.50;0.50;0.00
23;SAFE14;17.50;"Realizar reunión pre operacional  y HSE para Rig up de herramientas de manejo de CSG 13 3/8""";0.50;0.50;0.00
24;RUCST11;17.50;Realizar Rig up de las herramientas de corrida de csg.;1.50;1.50;0.00
25;SAFE15;17.50;"Realizar reunión pre operacional  y HSE para corrida de csg 13 3/8""";0.50;0.50;0.00
26;RIOHC11;17.50;"Bajar revestimiento de 13 3/8"" desde superficie, hasta la última junta de revestimiento llenando tubo a tubo";5.00;4.00;-1.00
27;SAFE16;17.50;Realizar reunión Pre-Operacional para instalar G-Mandrel;0.50;;
28;RIOHC12;17.50;"Izar G-Mandrel + Landing joint 13 3/8"". Roscado inicial del equipo. Torquear G-Mandrel a última junta de revestimiento. Correr y fijar G-Mandrel en tubo conductor.";1.00;0.50;-0.50
29;CIRCS11;17.50;Circular revestimiento hasta retornos limpios acondicionando reología del fluido.;0.50;0.50;0.00
30;SAFE17;17.50;Realizar reunión preoperacional para instalar cabeza y líneas de cementación.;0.50;0.50;0.00
31;RUCEM11;17.50;Realizar rig up de  cabeza y líneas de cementación.;1.00;0.50;-0.50
32;CIRCS12;17.50;Circular hasta retornos limpios con mínimo caudal de 400 gpm.;0.50;0.50;0.00
33;SAFE18;17.50;"Realizar reunión Pre-Operacional Cementación Casing 13 3/8""";0.50;;
34;CEM11;17.50;"Realizar cementación del Csg 13 3/8"" según programa.";2.50;2.50;0.00
35;CSTST11;17.50;"Realizar prueba de Casing 13 3/8"" con asentamiento del tapón";0.50;0.50;0.00
36;RDCEM11;17.50;Realizar Rig Down de la cabeza y líneas de cementación.;0.50;0.50;0.00
37;RDCST11;17.50;"Retirar landing joint y running tool de 13 3/8""";0.50;0.50;0.00
38;SAFE19;17.50;Realizar reunión preoperacional y de seguridad para rig down de herramientas de manejo de CSG;0.50;0.50;0.00
39;RDCST12;17.50;Rig Down herramientas corrida de casing;1.00;1.00;0.00
40;CONDC11;17.50;LIMPIAR CONTRAPOZO;1.00;1.00;0.00
41;SAFE110;17.50;Realizar reunión preoperacional para Instalacion de Wellhead compacto (Sección A + Sección B);0.50;0.50;0.00
42;TESCS11;17.50;Instalación y prueba de Wellhead compacto MB2 (Sección A + Sección B).;1.00;1.00;0.00
43;SAFE111;17.50;Realizar reunion Preoperacional y de seguridad instalación y prueba BOPs;0.50;0.50;0.00
44;RUBOP11;17.50;"Instalar set de BOP's 13 5/8""x10K sobre Sección B del MB2. Instalar campana, templetes y camisa flow line.";4.00;4.00;0.00
45;BOPT11;17.50;Sentar Test Plug y probar set de BOP's;1.00;2.00;1.00
46;IRWB11;17.50;Recuperar test plug e instalar wear Bushing largo.;1.00;1.00;0.00
47;RS11;17.50;"Rig Service fase 17 1/2""";2.00;1.00;-1.00
48;SIMUL11;17.50;"Simulacro fase 17 1/2""";2.00;;
49;PUPIP21;12.25;Parar Aprox 105.584 ft de DP de 5 1/2;4.00;4.50;0.50
50;SAFE21;12.25;"Realizar reunión preoperacional para arme de BHA para perforar fase 12 1/4"".";0.50;0.50;0.00
51;RUDT21;12.25;RIG UP BHA Direccional y probar herramientas direccionales.;4.00;4.50;0.50
52;RICH21;12.25;Bajar BHA libre hasta 200 ft arriba del tope teórico de cemento.;4.00;4.00;0.00
53;DRILO21;12.25;"Limpiar cemento, perforar tapones, collar, y 5' arriba del tope del zapato 13 3/8"". Perforar zapato y bolsillo.";3.50;1.50;-2.00
54;DESPL21;12.25;"Realizar desplazamiento de agua-cemento por lodo polímero inhibido de 10.6 ppg para perforar la fase de 12 1/4"".";1.00;1.00;0.00
55;DRIL21;12.25;"Perforar 10 ft de fase 12 1/4"" en Areniscas de superiores";0.50;0.50;0.00
56;SAFE22;12.25;"Realizar reunión preoperacional y de seguridad para instalar líneas chicksan y realizar prueba de integridad del zapato de 13 3/8""+ Fit";0.50;0.50;0.00
57;RUEQU21;12.25;Conectar líneas Chicksan desde la unidad de cementación a side entry sub de la junta en cuñas.;1.00;1.00;0.00
58;LOT21;12.25;"Prueba de integridad del zapato de 13 3/8"" + FIT";1.00;;
59;RDEQU21;12.25;Realizar rig down de líneas chicksan y side entry sub;0.50;;
60;DRIL22;12.25;"Perforar fase 12 1/4"" Unidad Areniscas superiores hasta Tope de Lutita E según plan direccional.";3.00;4.00;1.00
61;DRIL23;12.25;"Perforar fase 12 1/4"" Unidad Lutita E hasta Tope C1 según plan direccional.";3.00;3.50;0.50
62;DRIL24;12.25;"Perforar fase 12 1/4"" Unidad C1 hasta Tope Areniscas Carbonera según plan direccional";8.50;9.00;0.50
63;DRIL25;12.25;"Perforar fase 12 1/4"" Unidad Areniscas Carbonera hasta Unidad C2 según plan direccional";3.50;4.00;0.50
64;DRIL26;12.25;"Perforar fase 8-3/4"" Perorar has 50 ft dentro del tope de C2";0.50;0.50;0.00
65;CRBHA21;12.25;Circular hasta limpios con mismos parámetros de perforación de la Unidad.;0.50;0.50;0.00
66;SHTRI21;12.25;Sacar sarta hasta el tope de la Unidad Areniscas de Carbonera;0.50;0.50;0.00
67;SHTRI22;12.25;Bajar sarta en hueco abierto hasta base de la Unidad Areniscas de carbonera. Bajar lavando las úlimtas 2 paradas por seguridad;0.50;0.50;0.00
68;CRBHA22;12.25;Bombear y dejar en fondo píldora sellante para reforzar formación, según procedimiento y formulación propuesto en el programa de fluidos.;0.50;0.50;0.00
69;SHTRI23;12.25;Sacar sarta hasta el tope de la Unidad Areniscas de Carbonera;0.50;;
70;CRBHA23;12.25;Circular pozo con caudal de perforación, realizando sellamiento de la Unidad Areniscas de carbonera con ECD.;0.50;0.50;0.00
71;SHTRI24;12.25;Bajar sarta, lavando píldora hasta la base de la Unidad Areniscas de carbonera, para continuar perforación;0.50;0.50;0.00
72;DRIL27;12.25;"Perforar fase 12 1/4"" Unidad C2 hasta profundidad de viaje intermedio";29.00;28.50;-0.50
73;CRBHA24;12.25;BOMBEAR PÍLDORAS SEGÚN PROGRAMA DE FLUIDOS Y CIRCULAR A LIMPIO;0.50;0.50;0.00
74;SHTRI25;12.25;"SACAR TUBERÍA HASTA EL ZAPATO DE 13 3/8"" . (HUECO ABIERTO)";5.50;10.50;5.00
75;CRBHA25;12.25;"Circular en el zapato de 9-5/8"" (Lag Time)";0.50;;
76;SHTRI26;12.25;Bajar libre lavando las tres ultimas paradas hasta profundidad perforada por seguridad. (HUECO ABIERTO);5.50;6.00;0.50
77;CRBHA26;12.25;Circular pozo hasta retornos limpios en superficie;1.00;1.00;0.00
78;DRIL28;12.25;"Perforar fase 12 1/4"" desde profundidad de viaje intermedio hasta Tope de la Unidad Lutita E3";3.00;2.50;-0.50
79;DRIL29;12.25;"Perforar fase 12 1/4"" desde Tope de Lutita E3  hasta Tope Unidad T1 según plan direccional.";5.00;4.00;-1.00
80;DRIL210;12.25;"Perforar fase 12 1/4""  desde tope de la Unidad T1 hasta tope de Unidad Lutita E4 según plan direccional.";4.00;4.50;0.50
81;DRIL211;12.25;"Perforar fase 12-1/4""  hasta aproximadamente 50' dentro de la Unidad Lutita E4 para definir tope.";1.00;0.50;-0.50
82;CRBHA27;12.25;Bombear píldora de limpieza y circular hasta retornos limpios previo al reforzamiento de la Unidad T1;1.50;1.00;-0.50
83;SHTRI27;12.25;Viaje corto de calibración. Sacar sarta hasta el tope de la Unidad T1;0.50;0.50;0.00
84;SHTRI28;12.25;Viaje corto de calibración. Bajar sarta hasta base de la Unidad T1;0.50;;
85;CRBHA28;12.25;Bombear y dejar en fondo píldora sellante para reforzar formación, según procedimiento y formulación propuesto en el programa de fluidos.;0.50;0.50;0.00
86;SHTRI29;12.25;Sacar sarta hasta tope de la Unidad T1. Verificar que el punto de circulación sea competente para hacer reforzamiento con ECD.;0.50;;
87;CRBHA29;12.25;Circular pozo con caudal de perforación, realizando reforzamiento de la Unidad T1 con ECD.;0.50;0.50;0.00
88;SHTRI210;12.25;Bajar sarta, lavando píldora hasta la base de la Unidad T1, para continuar perforación;0.50;0.50;0.00
89;DRIL212;12.25;"Perforar fase 12 1/4"" Unidad Lutita E4 hasta 70' antes del tope de Unidad T2 según plan direccional.";9.00;7.50;-1.50
90;DRIL213;12.25;Continuar perforando y parar 10 pies en MD antes de entrar al tope de T2;6.00;4.50;-1.50
91;CRBHA210;12.25;Bombear píldoras de limpieza de acuerdo al programa de fluidos.;2.00;1.50;-0.50
92;SHTRI211;12.25;Sacar tubería hasta hueco viejo.;2.00;1.00;-1.00
93;SHTRI212;12.25;Bajar libre y repasar los intervalos que evidencien alta tortuosidad.;2.50;2.00;-0.50
94;CRBHA211;12.25;Bombear píldoras de limpieza de acuerdo al programa de fluidos.;2.00;1.50;-0.50
95;POOH21;12.25;"Sacar tubería hasta el zapato de 9-5/8"" (HUECO ABIERTO)";7.50;6.00;-1.50
96;CRBHA212;12.25;"Circular en el zapato de 13 3/8"" (Lag Time)";0.50;0.50;0.00
97;POCH21;12.25;Sacar sarta hasta tope de herramientas direccionales.;3.00;3.00;0.00
98;SAFE23;12.25;Realizar reunión preoperacional quebrada BHA direccional;0.50;0.50;0.00
99;RDDT21;12.25;Quebrar herramientas direccionales y broca.;2.00;1.50;-0.50
100;IRWB21;12.25;Bajar con un sencillo de DP y recuperar wear bushing largo.;0.50;0.50;0.00
101;RDEQR21;12.25;"Acondicionar mesa previo a la corrida del CSG 9 5/8""";0.50;1.00;0.50
102;SAFE24;12.25;"Realizar reunión pre operacional para armar herramientas de manejo de casing 9 5/8"".";0.50;0.50;0.00
103;RUCST21;12.25;REALIZAR RIG UP DE HTAS PARA CORRIDA CSG.;2.00;1.50;-0.50
104;SAFE25;12.25;"Realizar reunión pre operacional para corrida de casing 9 5/8"".";0.50;0.50;0.00
105;RICHC21;12.25;"REALIZAR CORRIDA DE CASING 9 5/8"": (HUECO REVESTIDO)";4.00;2.50;-1.50
106;CIRCS21;12.25;CIRCULAR HASTA RETORNOS LIMPIOS;0.50;0.50;0.00
107;RIOHC21;12.25;"Realizar corrida de casing 9 5/8"": (HUECO ABIERTO)";18.00;12.50;-5.50
108;CIRCS22;12.25;Circular con rotación y 590 gpm, hasta completar 2 fondos arriba.;2.00;;
109;SAFE26;12.25;Realizó reunión preoperacional y de seguridad para bajar mandrel hanger + setting tool + landing joint;0.50;;
110;RIOHC22;12.25;"Conectar y bajar Mandrel hanger  + 9 5/8"" setting tool + 9 5/8"" landing joint";0.50;0.50;0.00
111;CIRCS23;12.25;Circular con rotación y 590 gpm, hasta completar 2 fondos arriba.;2.00;0.50;-1.50
112;SAFE27;12.25;Realizar reunión preoperacional y de seguridad para armar cabeza y líneas de cementación.;0.50;0.50;0.00
113;RUCEM21;12.25;Conectó cabeza y líneas de cementación;0.50;0.50;0.00
114;CIRCS24;12.25;Circular hasta retornos limpio y realizar pruebas de lineas de cementación;0.50;;
115;SAFE28;12.25;"Realizó reunión preoperacional y de seguridad para cementar CSG 9 5/8""";0.50;0.50;0.00
116;CEM21;12.25;Realizar cementación según programa aprobado.;3.00;3.50;0.50
117;RDCEM21;12.25;Desarmar líneas y cabeza de cementación.;0.50;1.50;1.00
118;RDCST21;12.25;Retirar landing joint + setting tool;0.50;1.50;1.00
119;RDCST22;12.25;"Realizar rig down herramientas para corrida de casing 9 5/8""";2.00;2.00;0.00
120;RDEQR22;12.25;Acondicionar mesa previo a la instalación y prueba del bushing backoff;0.50;0.50;0.00
121;SAFE29;12.25;Realizó reunión preoperacional y de seguridad para instalar y probar bushing backoff por parte de Fepco;0.50;0.50;0.00
122;TESCS21;12.25;Instalar Bushing pack off y probar con máximo 2400 psi x 10 minutos.;3.00;0.50;-2.50
123;IRWB22;12.25;Armar sarta con test plug. Instalar wear Bushing corto. Quebrar sarta con test plug.;0.50;3.00;2.50
124;SLCUT21;12.25;Corrida y Corte de Cable;2.00;2.00;0.00
125;RS21;12.25;Tiempo de Rig Service,;4.00;1.50;-2.50
126;SIMUL21;12.25;Tiempo de Simulacros ó paradas de seguridad;2.00;;
127;SAFE31;8.50;Realizar reunión pre operacional y de seguridad para armar BHA direccional para fase 8 1/2;0.50;0.50;0.00
128;RUDT31;8.50;Realizar RIG UP  herramientas direccionales y BHA (Motor + LWD + PWD);5.00;5.50;0.50
129;RICH31;8.50;Bajar libre hasta 400 pies antes del tope teórico del cemento, luego bajar lavando por seguridad hasta encontrar tope de cemento.;8.50;7.00;-1.50
130;CSTST31;8.50;"Realizar prueba de integridad del revestimiento de 9 5/8"" con cemento fraguado con 1000 psi por 30 min.";0.50;0.50;0.00
131;DRILO31;8.50;"Limpiar cemento, perforar tapones, collar, y 5' arriba del tope del zapato 9 5/8"".";3.00;4.00;1.00
132;DRILO32;8.50;"Perforar el zapato 9 5/8"" + 5' de bolsillo";2.00;1.00;-1.00
133;DRIL31;8.50;"Perforar fase 8 1/2"" desde el TD de la fase intermedia hasta el Tope de la Unidad T2 según plan direccional.";1.00;;
134;DESPL31;8.50;Una vez perforados los 10' de formación, circular a limpio. Homegeneizar sistema de fluido;1.00;0.50;-0.50
135;INFT31;8.50;Sacar dentro del casing y chequear flujo durante 30 min. Asegurar pozo estable (integridad en el zapato).;0.50;0.50;0.00
136;DRIL32;8.50;"Perforar fase 8 1/2"" desde el Tope de Unidad T2 hasta tope de K1 Superior según plan direccional.";2.00;2.00;0.00
137;DRIL33;8.50;"Perforar fase 8 1/2"" hasta Tope K1 Inferior según plan direccional";7.00;4.50;-2.50
138;DRIL34;8.50;"Perforar  fase 8 1/2"" desde tope K1 Inferior  hasta tope de Masivo K2 según plan direccional";6.50;6.00;-0.50
139;DRIL35;8.50;"Perforar  fase 8 1/2"" desde tope de la Unidad K2 hasta TD según plan direccional";22.00;20.50;-1.50
140;CRBHA31;8.50;Bombear píldoras de limpieza de acuerdo con el programa de fluidos.;2.00;1.50;-0.50
141;SHTRI31;8.50;"Realizar viaje corto de calibración hasta el zapato de 9 5/8""";2.00;;
142;CRBHA32;8.50;"Circular en el zapato de 9 5/8""";0.50;;
143;SHTRI32;8.50;Bajar libre y lavando las tres ultimas paradas hasta profundidad perforada por seguridad. (HUECO ABIERTO);2.00;3.50;1.50
144;CRBHA33;8.50;Bombear píldoras de limpieza de acuerdo al programa de fluidos.;2.00;1.50;-0.50
145;POOH31;8.50;"Sacar tubería hasta el zapato de 9 5/8"" (HUECO ABIERTO)";1.50;1.50;0.00
146;CRBHA34;8.50;"Circular en el zapato de 9 5/8""";1.00;;
147;POCH31;8.50;Continuar sacando tubería combinada y  BHA hasta superficie. (HUECO REVESTIDO);7.00;7.00;0.00
148;SAFE32;8.50;Realizar reunion preoperacional para quiebre de BHA direccional;0.50;0.50;0.00
149;RDDT31;8.50;Quebrar herramientas direccionales.;4.00;3.00;-1.00
150;RUEQR31;8.50;"Acondicionar mesa para operación de corrida de liner 7""";1.00;0.50;-0.50
151;SAFE33;8.50;Realizar reunión preoperacional para arme de herramientas de manejo de Liner 7''.;0.50;0.50;0.00
152;RUCST31;8.50;"Armar herramientas de manejo para corrida del Liner 7""";1.00;1.00;0.00
153;SAFE34;8.50;Realizar reunión preoperacional para correr Liner 7''.;0.50;0.50;0.00
154;RICHL31;8.50;"Bajar liner 7"", llenando y probando circulación cada 10 juntas.";2.00;2.50;0.50
155;SAFE35;8.50;Realizar reunión preoperacional y de seguridad para conectar liner hanger Hi torque;0.50;0.50;0.00
156;RULNR31;8.50;Levantar y conectar Liner Hanger Assembly - Setting Tool.;1.00;1.00;0.00
157;RDCST31;8.50;"Rig Down herramientas de manejo para corrida de Liner 7"".";1.00;0.50;-0.50
158;RICHL32;8.50;"Continuar bajando liner 7"" con DP hasta zapato 9 5/8"".";9.00;5.50;-3.50
159;CIRCS31;8.50;"Circular un fondo arriba en el zapato 7""";1.00;1.00;0.00
160;RIOHL31;8.50;"BAJAR LINER 7"" (HUECO ABIERTO)";4.00;1.50;-2.50
161;CIRCS32;8.50;Circular fondos hasta retornos limpios y presión estable acorde a la simulación enviada previo a la corrida.;2.00;1.50;-0.50
162;SAFE36;8.50;Realizó reunión preoperacional para conectar cabeza de cementación;0.50;0.50;0.00
163;RUCEM31;8.50;Levantar y conectar cabeza de cementación;0.50;1.00;0.50
164;CIRCS33;8.50;Continuar circulando Liner;0.50;;
165;SAFE37;8.50;Realizar reunión preoperacional para cementar y asentar el colgador.;0.50;0.50;0.00
166;RUCEM32;8.50;Instalar líneas de cementación y probar con 500, 3500 y 9000 psi;0.50;1.50;1.00
167;CIRCS34;8.50;Circular pozo mientras realiza premezcla de lechada;0.50;;
168;CEM31;8.50;Cementar liner 7'', según programa;2.00;1.50;-0.50
169;SETLN31;8.50;Realizar colgamiento del liner y expansión del top packer  según procedimiento de compañía aliada.;0.50;1.00;0.50
170;RDCEM31;8.50;Desconectar líneas de cementación y antitorque del cabezal rotativo.  Levantar sarta para observar liberación del setting tool. Circular pozo para lavar el tope del colgador. Bombear y circular píldora abrasiva;2.00;;
171;RDCEM32;8.50;Rig Down líneas y cabeza de cementación;0.50;0.50;0.00
172;DESPL32;8.50;Desplazar lodo por agua aditivada;1.00;1.00;0.00
173;CSTST32;8.50;Probar integridad del Top packer con 1000 psi por 30 min;1.00;0.50;-0.50
174;INFT32;8.50;Realizar check flow por 30 min;0.50;;
175;POOWS31;8.50;Sacar setting tool a superficie;12.00;4.50;-7.50
176;RS31;8.50;Tiempo de Rig Service;3.00;0.50;-2.50
177;SIMUL31;8.50;Tiempo de Simulacros ó paradas de seguridad;2.00;;
